msn.com,13.82.28.61
live.com,65.55.118.92
wikipedia.org,208.80.153.224
yahoo.com,98.138.253.109
youtube.com,172.217.6.78
facebook.com,31.13.77.36
bing.com,13.107.21.200
baidu.com,123.125.114.144
qq.com,125.39.240.113
microsoft.com,23.96.52.53
blogspot.com,172.217.6.41
taobao.com,140.205.220.96
163.com,123.58.180.7
ask.com,66.235.121.239
adobe.com,192.150.16.117
twitter.com,104.244.42.65
mozilla.com,63.245.213.24
sdjjdsaf.com,
sina.com.cn,202.108.33.107
soso.com,123.125.125.116
youku.com,59.82.2.37
wmfo.org,23.92.21.128
andysayler.com,162.243.49.20
